field_name	has_maximum_numeric_value	has_minimum_numeric_value	has_numeric_value	has_unit	has_raw_value	type
chlorophyll			5.0	mg/m3	5 milligram per cubic meter	nmdc:QuantityValue
conduc			10.0	mS/cm	10 milliSiemens per centimeter	nmdc:QuantityValue
density			1000.0	g/m3	1000 kilogram per cubic meter	nmdc:QuantityValue
depth	2.5	1.5	2	m	1.5 to 2.5 meters	nmdc:QuantityValue
dew_point				Cel	xxx	nmdc:QuantityValue
diss_carb_dioxide			5.0	mg/L	5 milligram per liter	nmdc:QuantityValue
diss_hydrogen			0.3	umol/L	0.3 micromole per liter	nmdc:QuantityValue
diss_inorg_carb			2059.0	ug/L	2059 micromole per kilogram	nmdc:QuantityValue
diss_inorg_nitro				ug/L	xxx	nmdc:QuantityValue
diss_inorg_phosp			56.5	ug/L	56.5 micromole per liter	nmdc:QuantityValue
diss_iron				mg/L	xxx	nmdc:QuantityValue
diss_org_carb			197.0	umol/L	197 micromole per liter	nmdc:QuantityValue
diss_org_nitro			0.05	ug/L	0.05 micromole per liter	nmdc:QuantityValue
diss_oxygen			175.0	umol/kg	175 micromole per kilogram	nmdc:QuantityValue
diss_oxygen_fluid				umol/kg	xxx	nmdc:QuantityValue
door_size				m2	xxx	nmdc:QuantityValue
down_par				umol/m2/s	xxx	nmdc:QuantityValue
efficiency_percent				%	xxx	nmdc:QuantityValue
ethylbenzene				mg/L	xxx	nmdc:QuantityValue
exp_duct				m2	xxx	nmdc:QuantityValue
exp_pipe				m2	xxx	nmdc:QuantityValue
floor_age			5	a	5 years	nmdc:QuantityValue
floor_area				m2	xxx	nmdc:QuantityValue
floor_thermal_mass				J/K	xxx	nmdc:QuantityValue
fluor				mg/m3	xxx	nmdc:QuantityValue
freq_clean				1/d	xxx	nmdc:QuantityValue
freq_cook				1/d	xxx	nmdc:QuantityValue
glucosidase_act			5.0	mol/L/h	5 mol per liter per hour	nmdc:QuantityValue
hcr_fw_salinity				mg/L	xxx	nmdc:QuantityValue
height_carper_fiber				cm	xxx	nmdc:QuantityValue
host_age			3	a	3 years	nmdc:QuantityValue
host_body_temp				Cel	xxx	nmdc:QuantityValue
host_dry_mass				kg	xxx	nmdc:QuantityValue
host_height				cm	xxx	nmdc:QuantityValue
host_length				cm	xxx	nmdc:QuantityValue
host_tot_mass				kg	xxx	nmdc:QuantityValue
host_wet_mass				kg	xxx	nmdc:QuantityValue
humidity			25.0	g/m3	25 gram per cubic meter	nmdc:QuantityValue
indust_eff_percent				%	xxx	nmdc:QuantityValue
inside_lux				kW/m2	xxx	nmdc:QuantityValue
iwf				%	xxx	nmdc:QuantityValue
lbc_thirty			543.0	[ppm]	543 ppm	nmdc:QuantityValue
lbceq			1575.0	[ppm]	1575 ppm	nmdc:QuantityValue
light_intensity			0.3	lx	0.3 lux	nmdc:QuantityValue
magnesium			52.8	umol/kg	52.8 micromole per kilogram	nmdc:QuantityValue
manganese			24.7	mg/kg	24.7 mg/kg	nmdc:QuantityValue
max_occup			35	1	35	nmdc:QuantityValue
mean_frict_vel			0.5	m/s	0.5 meter per second	nmdc:QuantityValue
mean_peak_frict_vel			1.0	m/s	1 meter per second	nmdc:QuantityValue
methane			1800.0	[ppb]	1800 parts per billion	nmdc:QuantityValue
microbial_biomass				kg	xxx	nmdc:QuantityValue
nitrate			65.0	umol/L	65 micromole per liter	nmdc:QuantityValue
nitrite			0.5	umol/L	0.5 micromole per liter	nmdc:QuantityValue
nitrite_nitrogen			1.2	mg/kg	1.2 mg/kg	nmdc:QuantityValue
nitro				umol/L	xxx	nmdc:QuantityValue
number_pets			3	1	3	nmdc:QuantityValue
number_plants			4	1	4	nmdc:QuantityValue
number_resident			3	1	3	nmdc:QuantityValue
occup_density_samp				1	xxx	nmdc:QuantityValue
occup_samp				1	xxx	nmdc:QuantityValue
org_carb				umol/L	xxx	nmdc:QuantityValue
org_matter			1.75	ug/L	1.75 milligram per cubic meter	nmdc:QuantityValue
org_nitro			4.0	ug/L	4 micromole per liter	nmdc:QuantityValue
organism_count[0]				1	total prokaryotes;3.5e7 cells per milliliter;qPCR	nmdc:QuantityValue
owc_tvdss				m	xxx	nmdc:QuantityValue
oxygen			600.0	[ppm]	600 parts per million	nmdc:QuantityValue
part_org_carb			1.92	ug/L	1.92 micromole per liter	nmdc:QuantityValue
part_org_nitro				ug/L	xxx	nmdc:QuantityValue
petroleum_hydrocarb			0.05	umol/L	0.05 micromole per liter	nmdc:QuantityValue
phosphate			0.7	umol/L	0.7 micromole per liter	nmdc:QuantityValue
photon_flux			3.926	umol/m2/s	3.926 micromole photons per second per square meter	nmdc:QuantityValue
potassium			463.0	mg/L	463 milligram per liter	nmdc:QuantityValue
pour_point				Cel	xxx	nmdc:QuantityValue
pressure			50.0	atm	50 atmosphere	nmdc:QuantityValue
primary_prod				mg/m3/d	xxx	nmdc:QuantityValue
prod_rate				m3/d	xxx	nmdc:QuantityValue
redox_potential			300.0	mV	300 millivolt	nmdc:QuantityValue
rel_air_humidity			80.0	%	80 %	nmdc:QuantityValue
rel_humidity_out				%	xxx	nmdc:QuantityValue
room_air_exch_rate				L/h	xxx	nmdc:QuantityValue
room_occup				1	xxx	nmdc:QuantityValue
root_med_ph				[pH]	xxx	nmdc:QuantityValue
salinity			25	%	25 practical salinity unit	nmdc:QuantityValue
samp_md				m	xxx	nmdc:QuantityValue
samp_size			5	mL	5 mL	nmdc:QuantityValue
samp_store_temp			-80.0	Cel	-80 degree Celsius	nmdc:QuantityValue
season_precpt			75.0	mm	75 millimeters	nmdc:QuantityValue
season_temp			18.0	Cel	18 degree Celsius	nmdc:QuantityValue
silicate			0.05	umol/L	0.05 micromole per liter	nmdc:QuantityValue
size_frac_low			0.2	um	0.2 micrometer	nmdc:QuantityValue
size_frac_up			20.0	um	20 micrometer	nmdc:QuantityValue
slope_aspect			22	deg	22 deg	nmdc:QuantityValue
slope_gradient			17	%	17 %	nmdc:QuantityValue
sludge_retent_time				h	xxx	nmdc:QuantityValue
sodium			10.5	mg/L	10.5 milligram per liter	nmdc:QuantityValue
soil_text_measure				1	xxx	nmdc:QuantityValue
solar_irradiance			1.36	kW/m2/d	1.36 kilowatts per square meter per day	nmdc:QuantityValue
soluble_react_phosp				umol/L	xxx	nmdc:QuantityValue
specific_humidity				g/kg	xxx	nmdc:QuantityValue
sulfate			5.0	umol/L	5 micromole per liter	nmdc:QuantityValue
sulfate_fw				mg/L	xxx	nmdc:QuantityValue
sulfide			2.0	umol/L	2 micromole per liter	nmdc:QuantityValue
surf_humidity				%	xxx	nmdc:QuantityValue
surf_moisture				g/m3	xxx	nmdc:QuantityValue
surf_temp				Cel	xxx	nmdc:QuantityValue
suspend_part_matter				mg/L	xxx	nmdc:QuantityValue
tan				mg/L	xxx	nmdc:QuantityValue
temp			25.0	Cel	25 degree Celsius	nmdc:QuantityValue
temp_out			5.0	Cel	5 degree Celsius	nmdc:QuantityValue
toluene				mg/L	xxx	nmdc:QuantityValue
tot_carb			11	ug/L	11 ug/L	nmdc:QuantityValue
tot_depth_water_col			500.0	m	500 meter	nmdc:QuantityValue
tot_diss_nitro			40.0	ug/L	40 microgram per liter	nmdc:QuantityValue
tot_inorg_nitro				ug/L	xxx	nmdc:QuantityValue
tot_iron				mg/L	xxx	nmdc:QuantityValue
tot_nitro				ug/L	xxx	nmdc:QuantityValue
tot_nitro_content			35.0	mg/L	35 milligrams Nitrogen per kilogram of soil	nmdc:QuantityValue
tot_org_carb			2	mg/L	2 mg/L	nmdc:QuantityValue
tot_part_carb				ug/L	xxx	nmdc:QuantityValue
tot_phosp			0.03	mg/L	0.03 milligram per liter	nmdc:QuantityValue
tot_phosphate				ug/L	xxx	nmdc:QuantityValue
tot_sulfur				mg/L	xxx	nmdc:QuantityValue
turbidity			0.3	[NTU]	0.3 nephelometric turbidity units	nmdc:QuantityValue
tvdss_of_hcr_press				m	xxx	nmdc:QuantityValue
tvdss_of_hcr_temp				m	xxx	nmdc:QuantityValue
ventilation_rate			750.0	m3/min	750 cubic meter per minute	nmdc:QuantityValue
vfa				mg/L	xxx	nmdc:QuantityValue
vfa_fw				mg/L	xxx	nmdc:QuantityValue
wall_area				m2	xxx	nmdc:QuantityValue
wall_height				cm	xxx	nmdc:QuantityValue
wall_thermal_mass				J/K	xxx	nmdc:QuantityValue
water_current				m3/s	xxx	nmdc:QuantityValue
water_cut				%	xxx	nmdc:QuantityValue
water_feat_size				m2	xxx	nmdc:QuantityValue
water_prod_rate				m3/d	xxx	nmdc:QuantityValue
wind_speed			21.0	km/h	21 kilometer per hour	nmdc:QuantityValue
xylene				mg/L	xxx	nmdc:QuantityValue
zinc			2.5	mg/kg	2.5 mg/kg	nmdc:QuantityValue
subsurface_depth			10.0	m	10.0 m	nmdc:QuantityValue
bulk_elect_conductivity			0.5	mS/cm	0.5 millisiemens per centimeter	nmdc:QuantityValue
nitrate_nitrogen			1.2	mg/kg	1.2 mg/kg	nmdc:QuantityValue
