OmicsProcessing	OmicsProcessing_gold_sequencing_project_identifierss	OmicsProcessing_has_input_rdf_types	OmicsProcessing_has_inputs	OmicsProcessing_has_output_rdf_types	OmicsProcessing_has_outputs	OmicsProcessing_instrument_name	OmicsProcessing_ncbi_project_name	OmicsProcessing_omics_type_rdf_types	OmicsProcessing_omics_type_terms	OmicsProcessing_omics_type_has_raw_values	OmicsProcessing_part_of_rdf_types	OmicsProcessing_part_ofs	OmicsProcessing_processing_institution	OmicsProcessing_type	OmicsProcessing_name
nmdc:omprc-11-129tgv60		nmdc:ProcessedSample	nmdc:procsm-11-7gm4gp40	nmdc:DataObject	nmdc:dobj-11-g0v51a37|nmdc:dobj-11-vm44v756	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_002-M-20190806-COMP-DNA1
nmdc:omprc-11-12yjg922		nmdc:ProcessedSample	nmdc:procsm-11-whh3yh80	nmdc:DataObject	nmdc:dobj-11-4t5xjc58|nmdc:dobj-11-hzzk5668	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_072-O-20190618-COMP-DNA1
nmdc:omprc-11-15r5j518		nmdc:ProcessedSample	nmdc:procsm-11-4qzbfa70	nmdc:DataObject	nmdc:dobj-11-617d6p74|nmdc:dobj-11-wzf0my60	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - JORN_006-M-20170808-COMP-DNA1
nmdc:omprc-11-15tm6w40		nmdc:ProcessedSample	nmdc:procsm-11-q2g8y186	nmdc:DataObject	nmdc:dobj-11-qnv8nc05|nmdc:dobj-11-rwz7bf50	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_044-M-20210525-COMP-DNA1
nmdc:omprc-11-1dt66j60		nmdc:ProcessedSample	nmdc:procsm-11-6t2rg752	nmdc:DataObject	nmdc:dobj-11-cfxqga54|nmdc:dobj-11-keey4e86	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_044-M-20170614-COMP-DNA1
nmdc:omprc-11-1e8gmr65		nmdc:ProcessedSample	nmdc:procsm-11-09br3331	nmdc:DataObject	nmdc:dobj-11-bdcdv633|nmdc:dobj-11-w9y2fg09	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - PUUM_010-O-20190109-COMP-DNA1
nmdc:omprc-11-1krn7y95		nmdc:ProcessedSample	nmdc:procsm-11-jjchm803	nmdc:DataObject	nmdc:dobj-11-5dmyzv41|nmdc:dobj-11-7h3eq758	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_027-M-20180710-COMP-DNA1
nmdc:omprc-11-1mvn4t54		nmdc:ProcessedSample	nmdc:procsm-11-0wjwqk70	nmdc:DataObject	nmdc:dobj-11-29gysv67|nmdc:dobj-11-a9ndm596	Illumina HiSeq	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	ANL	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STER_006-M-20140325-COMP-DNA1
nmdc:omprc-11-1r0k6x05		nmdc:ProcessedSample	nmdc:procsm-11-yspf2916	nmdc:DataObject	nmdc:dobj-11-2181ap15|nmdc:dobj-11-q3n12x02	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - JORN_005-M-20170808-COMP-DNA1
nmdc:omprc-11-1tekk631		nmdc:ProcessedSample	nmdc:procsm-11-6yb3d976	nmdc:DataObject	nmdc:dobj-11-223qc305|nmdc:dobj-11-neg5jp75|nmdc:dobj-11-vx1bqz74|nmdc:dobj-11-yc0yp171	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - CPER_001-M-20170710-COMP-DNA1
nmdc:omprc-11-1ts6ys66		nmdc:ProcessedSample	nmdc:procsm-11-dq7xaz15	nmdc:DataObject	nmdc:dobj-11-rfgznb70|nmdc:dobj-11-t27by978	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_051-M-20180711-COMP-DNA1
nmdc:omprc-11-1whhzb90		nmdc:ProcessedSample	nmdc:procsm-11-y04fs902	nmdc:DataObject	nmdc:dobj-11-p36md377|nmdc:dobj-11-q6h8gg09	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_016-M-20180710-COMP-DNA1
nmdc:omprc-11-1yn1bt81		nmdc:ProcessedSample	nmdc:procsm-11-fvg1c998	nmdc:DataObject	nmdc:dobj-11-gh1rwm96|nmdc:dobj-11-rgaegp19	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_031-M-20170710-COMP-DNA1
nmdc:omprc-11-1yz2h446		nmdc:ProcessedSample	nmdc:procsm-11-01y9tb41	nmdc:DataObject	nmdc:dobj-11-2rzjza86|nmdc:dobj-11-cchhnp13	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SJER_047-M-20190313-COMP-DNA1
nmdc:omprc-11-20wz8391		nmdc:ProcessedSample	nmdc:procsm-11-v28t4716	nmdc:DataObject	nmdc:dobj-11-0jsph002|nmdc:dobj-11-kafgkc76	Illumina HiSeq	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	ANL	nmdc:OmicsProcessing	Terrestrial soil microbial communities - CPER_046-M-20140716-COMP-DNA1
nmdc:omprc-11-20x46s86		nmdc:ProcessedSample	nmdc:procsm-11-3tkgsn81	nmdc:DataObject	nmdc:dobj-11-6af3nh54|nmdc:dobj-11-ggp3k045	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STEI_021-M-20170705-COMP-DNA1
nmdc:omprc-11-21f7tc49		nmdc:ProcessedSample	nmdc:procsm-11-t8266r53	nmdc:DataObject	nmdc:dobj-11-0vwjnj18|nmdc:dobj-11-54ts6d93|nmdc:dobj-11-885tk153|nmdc:dobj-11-bpqq7c68	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - RMNP_019-O-20170807-COMP-DNA1
nmdc:omprc-11-21qpd693		nmdc:ProcessedSample	nmdc:procsm-11-99awxr25	nmdc:DataObject	nmdc:dobj-11-bvwfdr59|nmdc:dobj-11-jsf0t592|nmdc:dobj-11-r6q5pa73|nmdc:dobj-11-xky8ev90	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UKFS_009-M-20170802-COMP-DNA1
nmdc:omprc-11-22gvrx90		nmdc:ProcessedSample	nmdc:procsm-11-gqmy2j22	nmdc:DataObject	nmdc:dobj-11-11cxdb90|nmdc:dobj-11-6jgz5992	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_004-M-20200803-COMP-DNA1
nmdc:omprc-11-24hdwg91		nmdc:ProcessedSample	nmdc:procsm-11-68qtrs73	nmdc:DataObject	nmdc:dobj-11-akegf226|nmdc:dobj-11-eagwnj80	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SJER_047-M-20210311-COMP-DNA1
nmdc:omprc-11-24n44z47		nmdc:ProcessedSample	nmdc:procsm-11-708dhp66	nmdc:DataObject	nmdc:dobj-11-rjyg5q46|nmdc:dobj-11-vabqf746	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_008-M-20190715-COMP-DNA1
nmdc:omprc-11-25dkek26		nmdc:ProcessedSample	nmdc:procsm-11-2j5j4h03	nmdc:DataObject	nmdc:dobj-11-ejh3yn63|nmdc:dobj-11-qfghfk71	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_045-M-20170711-COMP-DNA1
nmdc:omprc-11-25mjqr75		nmdc:ProcessedSample	nmdc:procsm-11-h0t0wq11	nmdc:DataObject	nmdc:dobj-11-pp2xse77|nmdc:dobj-11-x1aety14	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_003-O-20190701-COMP-DNA1
nmdc:omprc-11-26gxr848		nmdc:ProcessedSample	nmdc:procsm-11-tn124580	nmdc:DataObject	nmdc:dobj-11-3jxba750|nmdc:dobj-11-p51kak76	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_001-O-20190619-COMP-DNA1
nmdc:omprc-11-27qbqj92		nmdc:ProcessedSample	nmdc:procsm-11-xrvx1675	nmdc:DataObject	nmdc:dobj-11-5fy1d068|nmdc:dobj-11-pdqd7f64	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - PUUM_034-O-20190104-COMP-DNA1
nmdc:omprc-11-2937gz63		nmdc:ProcessedSample	nmdc:procsm-11-3s5m9a70	nmdc:DataObject	nmdc:dobj-11-f8h9gv21|nmdc:dobj-11-zwq57n59	Illumina HiSeq	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	ANL	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STER_006-M-20140618-COMP-DNA1
nmdc:omprc-11-2a3zgb97		nmdc:ProcessedSample	nmdc:procsm-11-5y0p0874	nmdc:DataObject	nmdc:dobj-11-a0k0tw59|nmdc:dobj-11-z51t2694	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_003-M-20180710-COMP-DNA1
nmdc:omprc-11-2bpvvb18		nmdc:ProcessedSample	nmdc:procsm-11-k5tcmd48	nmdc:DataObject	nmdc:dobj-11-bh7rv546|nmdc:dobj-11-zyjkm083	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ORNL_053-M-20200602-COMP-DNA1
nmdc:omprc-11-2cdxfj30		nmdc:ProcessedSample	nmdc:procsm-11-7fhqgx95	nmdc:DataObject	nmdc:dobj-11-2a5kxm98|nmdc:dobj-11-5sek6v94	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ORNL_001-M-20190613-COMP-DNA1
nmdc:omprc-11-2d628951		nmdc:ProcessedSample	nmdc:procsm-11-b2qcvv51	nmdc:DataObject	nmdc:dobj-11-qt6qkj17|nmdc:dobj-11-x317k224	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - JERC_049-M-20160727-COMP-DNA1
nmdc:omprc-11-2d7b3v43		nmdc:ProcessedSample	nmdc:procsm-11-k8qf4242	nmdc:DataObject	nmdc:dobj-11-3dgbec09|nmdc:dobj-11-eqpser49|nmdc:dobj-11-kspvmx98|nmdc:dobj-11-t8847968	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TOOL_002-O-20170721-COMP-DNA1
nmdc:omprc-11-2d9s5x13		nmdc:ProcessedSample	nmdc:procsm-11-p4r9fr36	nmdc:DataObject	nmdc:dobj-11-0nk5df98|nmdc:dobj-11-s0e4m570	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OAES_045-M-20180530-COMP-DNA1
nmdc:omprc-11-2ddnrt32		nmdc:ProcessedSample	nmdc:procsm-11-jm94zk46	nmdc:DataObject	nmdc:dobj-11-v7qjpx44|nmdc:dobj-11-yp7yh073	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_001-O-20170612-COMP-DNA1
nmdc:omprc-11-2e1jrn61		nmdc:ProcessedSample	nmdc:procsm-11-txgqzn39	nmdc:DataObject	nmdc:dobj-11-1j8gtz75|nmdc:dobj-11-8p5hbb57|nmdc:dobj-11-gfz1a185|nmdc:dobj-11-k6defm45	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TOOL_044-O-20170719-COMP-DNA1
nmdc:omprc-11-2er0sq43		nmdc:ProcessedSample	nmdc:procsm-11-mm09ha36	nmdc:DataObject	nmdc:dobj-11-3jedgt29|nmdc:dobj-11-br0k2s73	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - RMNP_041-M-20200701-COMP-DNA1
nmdc:omprc-11-2kgrwg22		nmdc:ProcessedSample	nmdc:procsm-11-bwzccs06	nmdc:DataObject	nmdc:dobj-11-0bf36q64|nmdc:dobj-11-44a82v88	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - JORN_003-M-20170808-COMP-DNA1
nmdc:omprc-11-2mveyn71		nmdc:ProcessedSample	nmdc:procsm-11-8vt6ft29	nmdc:DataObject	nmdc:dobj-11-6bp79387|nmdc:dobj-11-jc2dzv76	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STEI_004-M-20160721-COMP-DNA1
nmdc:omprc-11-2pzyet53		nmdc:ProcessedSample	nmdc:procsm-11-dfacjh21	nmdc:DataObject	nmdc:dobj-11-91ftf045|nmdc:dobj-11-da1xwr61	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TREE_004-O-20170707-COMP-DNA1
nmdc:omprc-11-2qjvt394		nmdc:ProcessedSample	nmdc:procsm-11-vk99pp66	nmdc:DataObject	nmdc:dobj-11-24xb6n56|nmdc:dobj-11-smsszp63	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_007-M-20160823-COMP-DNA1
nmdc:omprc-11-2s8rdp31		nmdc:ProcessedSample	nmdc:procsm-11-wbyezv49	nmdc:DataObject	nmdc:dobj-11-301ys961|nmdc:dobj-11-kxhr7413	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_052-M-20190806-COMP-DNA1
nmdc:omprc-11-2snzvy74		nmdc:ProcessedSample	nmdc:procsm-11-9kq4rj83	nmdc:DataObject	nmdc:dobj-11-gsqpdd15|nmdc:dobj-11-r4vvnx98	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_005-M-20170815-COMP-DNA1
