env_package	count	lhs	rhs	extract	remaining_string	remaining_tidied	rt_override	EnvPackage	is_canonical
mice gut	87		mice gut		mice gut	mice gut	mice gut		False
built	61		built		built	built	built	built	True
CV	60		CV		CV	cv	cv		False
Human_Gut	59		Human_Gut		Human_Gut	human gut	human gut	human-gut	True
human gut	59		human gut		human gut	human gut	human gut	human-gut	True
default	51		default		default	default	no environmental package	No environmental package	True
microbial mat|biofilm	48		microbial mat|biofilm		microbial mat|biofilm	microbial mat biofilm	microbial	microbial	True
home, outdoor environment	44		home, outdoor environment		home, outdoor environment	home outdoor environment	home outdoor environment		False
Unspecified	42		Unspecified		Unspecified	unspecified	no environmental package	No environmental package	True
fermentation-associated	42		fermentation-associated		fermentation-associated	fermentation associated	fermentation associated		False
not applicable	41		not applicable		not applicable	not applicable	not applicable		False
soil-associated	36		soil-associated		soil-associated	soil associated	soil associated		False
sterile water	35		sterile water		sterile water	sterile water	sterile water		False
miscellaneous	33		miscellaneous		miscellaneous	miscellaneous	miscellaneous	miscellaneous	True
Human-vaginal	28		Human-vaginal		Human-vaginal	human vaginal	human vaginal	human-vaginal	True
human_skin	28		human_skin		human_skin	human skin	human skin	human-skin	True
Mouse_Gut	27		Mouse_Gut		Mouse_Gut	mouse gut	mouse gut		False
fresh water	27		fresh water		fresh water	fresh water	fresh water		False
Soil	19		Soil		Soil	soil	soil	soil	True
wastewater	14		wastewater		wastewater	wastewater	wastewater	wastewater	True
rock	12		rock		rock	rock	rock		False
arctic	10		arctic		arctic	arctic	arctic		False
MIGS/MIMS/MIMARKS.human-vaginal	9	MIGS/MIMS/MIMARKS	human-vaginal		human-vaginal	human vaginal	human vaginal	human-vaginal	True
freshwater sediment	9		freshwater sediment		freshwater sediment	freshwater sediment	freshwater sediment		False
seawater	9		seawater		seawater	seawater	seawater		False
misc-environment	7		misc-environment		misc-environment	misc environment	miscellaneous	miscellaneous	True
MIENS_16S	6		MIENS_16S		MIENS_16S	miens 16s	miens 16s		False
MIMARKS_water	6		MIMARKS_water		MIMARKS_water	mimarks water	mimarks water		False
cave	5		cave		cave	cave	cave		False
Not available	4		Not available		Not available	not available	no environmental package	No environmental package	True
Host-associated	3		Host-associated		Host-associated	host associated	host associated	host-associated	True
MIGS.plant-associated	3	MIGS	plant-associated		plant-associated	plant associated	plant associated	plant-associated	True
Water	3		Water		Water	water	water	water	True
not collected	3		not collected		not collected	not collected	no environmental package	No environmental package	True
plant	3		plant		plant	plant	plant		False
host associated	2		host associated		host associated	host associated	host associated	host-associated	True
sea water	2		sea water		sea water	sea water	sea water		False
Coastal water body (ENVO:02000049)	1		Coastal water body (ENVO:02000049)	ENVO:02000049	Coastal water body ()	coastal water body	coastal water body		False
Deep-sea water	1		Deep-sea water		Deep-sea water	deep sea water	deep sea water		False
ENVO:00000016	1		ENVO:00000016	ENVO:00000016					True
MIMARKS_16S	1		MIMARKS_16S		MIMARKS_16S	mimarks 16s	mimarks 16s		False
Sea water	1		Sea water		Sea water	sea water	sea water		False
Sediment	1		Sediment		Sediment	sediment	sediment	sediment	True
Unknown	1		Unknown		Unknown	unknown	no environmental package	No environmental package	True
env_package	1		env_package		env_package	env package	env package		False
gut microbiome	1		gut microbiome		gut microbiome	gut microbiome	gut microbiome		False
marine sediment (ENVO:00002113)	1		marine sediment (ENVO:00002113)	ENVO:00002113	marine sediment ()	marine sediment	marine sediment		False
saliva	1		saliva		saliva	saliva	saliva		False
sea water, [ENVO:00002149]	1		sea water, [ENVO:00002149]	ENVO:00002149	sea water, 	sea water	sea water		False
