slot	preferred_unit	ucum_notation	Notes – claude	Notes – mark	Notes – LHC	problem	remedy	https://github.com/ucum-org/ucum/blob/main/ucum-essence.xml	has_problem	slot_row_count
ammonium_nitrogen	mg/kg	mg/kg							0	1
nitrate_nitrogen	mg/kg	mg/kg							0	1
nitrite_nitrogen	mg/kg	mg/kg							0	1
tot_iron	milligram per kilogram	mg/kg							0	2
agrochem_addition	milligram per liter	mg/L							0	3
alkalinity	milligram per liter	mg/L							0	2
ammonium	milligram per liter	mg/L							0	3
benzene	milligram per liter	mg/L							0	2
biochem_oxygen_dem	milligram per liter	mg/L							0	1
biocide_admin_method	milligram per liter	mg/L							0	1
calcium	milligram per liter	mg/L							0	3
chem_mutagen	milligram per liter	mg/L							0	1
chem_oxygen_dem	milligram per liter	mg/L							0	1
chem_treat_method	milligram per liter	mg/L							0	1
chloride	milligram per liter	mg/L							0	2
diss_carb_dioxide	milligram per liter	mg/L							0	2
diss_inorg_carb	milligram per liter	mg/L							0	3
diss_inorg_phosp	milligram per liter	mg/L							0	3
diss_iron	milligram per liter	mg/L							0	1
diss_org_carb	milligram per liter	mg/L							0	2
diss_org_nitro	milligram per liter	mg/L							0	2
diss_oxygen	milligram per liter	mg/L							0	2
diss_oxygen_fluid	milligram per liter	mg/L							0	2
ethylbenzene	milligram per liter	mg/L							0	2
fertilizer_regm	milligram per liter	mg/L							0	3
fungicide_regm	milligram per liter	mg/L							0	3
growth_hormone_regm	milligram per liter	mg/L							0	3
hcr_fw_salinity	milligram per liter	mg/L							0	1
herbicide_regm	milligram per liter	mg/L							0	3
inorg_particles	milligram per liter	mg/L							0	2
magnesium	milligram per liter	mg/L							0	4
mineral_nutr_regm	milligram per liter	mg/L							0	3
nitrate	milligram per liter	mg/L							0	3
nitrite	milligram per liter	mg/L							0	3
non_min_nutr_regm	milligram per liter	mg/L							0	3
oxygen	milligram per liter	mg/L							0	2
pesticide_regm	milligram per liter	mg/L							0	3
pollutants	milligram per liter	mg/L							0	4
potassium	milligram per liter	mg/L							0	2
root_med_carbon	milligram per liter	mg/L							0	1
root_med_macronutr	milligram per liter	mg/L							0	1
root_med_micronutr	milligram per liter	mg/L							0	1
root_med_regl	milligram per liter	mg/L							0	1
root_med_suppl	milligram per liter	mg/L							0	1
sodium	milligram per liter	mg/L							0	2
soluble_react_phosp	milligram per liter	mg/L							0	3
sulfate	milligram per liter	mg/L							0	3
sulfate_fw	milligram per liter	mg/L							0	1
sulfide	milligram per liter	mg/L							0	3
suspend_part_matter	milligram per liter	mg/L							0	1
suspend_solids	milligram per liter	mg/L							0	6
tan	milligram per liter	mg/L							0	1
toluene	milligram per liter	mg/L							0	2
tot_iron	milligram per liter	mg/L							0	2
tot_nitro	milligram per liter	mg/L							0	3
tot_nitro_content	milligram per liter	mg/L							0	3
tot_phosp	milligram per liter	mg/L							0	3
tot_sulfur	milligram per liter	mg/L							0	2
vfa	milligram per liter	mg/L							0	2
vfa_fw	milligram per liter	mg/L							0	1
xylene	milligram per liter	mg/L							0	2
chlorophyll	milligram per cubic meter	mg/m3							0	2
phaeopigments	milligram per cubic meter	mg/m3							0	1
samp_preserv	milliliter	mL							0	1
watering_regm	milliliter	mL							0	2
annual_precpt	millimeter	mm							0	1
host_height	millimeter	mm							0	3
host_length	millimeter	mm							0	3
rainfall_regm	millimeter	mm							0	1
season_precpt	millimeter	mm							0	1
blood_press_diast	millimeter mercury	mm[Hg]							0	1
blood_press_syst	millimeter mercury	mm[Hg]							0	1
samp_loc_corr_rate	millimeter per year	mm/a							0	1
aminopept_act	mole per liter per hour	mol/(L.h)							0	1
glucosidase_act	mol per liter per hour	mol/(L.h)							0	1
phosplipid_fatt_acid	mole per gram	mol/g							0	2
agrochem_addition	mole per liter	mol/L							0	3
alkyl_diethers	mole per liter	mol/L							0	1
fertilizer_regm	mole per liter	mol/L							0	3
fungicide_regm	mole per liter	mol/L							0	3
growth_hormone_regm	mole per liter	mol/L							0	3
herbicide_regm	mole per liter	mol/L							0	3
inorg_particles	mole per liter	mol/L							0	2
magnesium	mole per liter	mol/L							0	4
mineral_nutr_regm	mole per liter	mol/L							0	3
non_min_nutr_regm	mole per liter	mol/L							0	3
pesticide_regm	mole per liter	mol/L							0	3
phosplipid_fatt_acid	mole per liter	mol/L							0	2
pollutants	mole per liter	mol/L							0	4
salt_regm	mole per liter	mol/L							0	4
soluble_inorg_mat	mole per liter	mol/L							0	5
soluble_org_mat	mole per liter	mol/L							0	5
suspend_solids	mole per liter	mol/L							0	6
conduc	milliSiemens per centimeter	mS/cm							0	1
redox_potential	millivolt	mV							0	1
bacteria_carb_prod	nanogram per hour	ng/h							0	1
diether_lipids	nanogram per liter	ng/L							0	1
volatile_org_comp	nanogram per liter	ng/L							0	3
radiation_regm	rad	RAD							0	2
salt_regm	microgram	ug							0	4
soluble_inorg_mat	microgram	ug							0	5
soluble_org_mat	microgram	ug							0	5
suspend_solids	microgram	ug							0	6
bishomohopanol	microgram per gram	ug/g							0	2
heavy_metals	microgram per gram	ug/g							0	1
bishomohopanol	microgram per liter	ug/L							0	2
chlorophyll	microgram per liter	ug/L							0	2
diss_inorg_carb	microgram per liter	ug/L							0	3
diss_inorg_nitro	microgram per liter	ug/L							0	2
diss_inorg_phosp	microgram per liter	ug/L							0	3
diss_org_nitro	microgram per liter	ug/L							0	2
org_matter	microgram per liter	ug/L							0	1
org_nitro	microgram per liter	ug/L							0	1
part_org_carb	microgram per liter	ug/L							0	1
part_org_nitro	microgram per liter	ug/L							0	2
tot_carb	microgram per liter	ug/L							0	1
tot_diss_nitro	microgram per liter	ug/L							0	1
tot_inorg_nitro	microgram per liter	ug/L							0	1
tot_nitro	microgram per liter	ug/L							0	3
tot_nitro_content	microgram per liter	ug/L							0	3
tot_part_carb	microgram per liter	ug/L							0	2
tot_phosphate	microgram per liter	ug/L							0	2
air_PM_concen	micrograms per cubic meter	ug/m3							0	1
pollutants	microgram per cubic meter	ug/m3							0	4
volatile_org_comp	microgram per cubic meter	ug/m3							0	3
particle_class	micrometer	um							0	1
size_frac_low	micrometer	um							0	1
size_frac_up	micrometer	um							0	1
bac_resp	micromole oxygen per liter per hour	umol{O2}/(L.h)							0	2
diss_oxygen	micromole per kilogram	umol/kg							0	2
diss_oxygen_fluid	micromole per kilogram	umol/kg							0	2
magnesium	micromole per kilogram	umol/kg							0	4
ammonium	micromole per liter	umol/L							0	3
calcium	micromole per liter	umol/L							0	3
carb_dioxide	micromole per liter	umol/L							0	2
carb_monoxide	micromole per liter	umol/L							0	2
diss_carb_dioxide	micromole per liter	umol/L							0	2
diss_hydrogen	micromole per liter	umol/L							0	1
diss_inorg_nitro	micromole per liter	umol/L							0	2
diss_org_carb	micromole per liter	umol/L							0	2
gaseous_environment	micromole per liter	umol/L							0	1
gaseous_substances	micromole per liter	umol/L							0	1
methane	micromole per liter	umol/L							0	3
n_alkanes	micromole per liter	umol/L							0	1
nitrate	micromole per liter	umol/L							0	3
nitrite	micromole per liter	umol/L							0	3
nitro	micromole per liter	umol/L							0	1
org_carb	micromole per liter	umol/L							0	1
part_org_nitro	micromole per liter	umol/L							0	2
petroleum_hydrocarb	micromole per liter	umol/L							0	1
phosphate	micromole per liter	umol/L							0	1
silicate	micromole per liter	umol/L							0	1
soluble_react_phosp	micromole per liter	umol/L							0	3
sulfate	micromole per liter	umol/L							0	3
sulfide	micromole per liter	umol/L							0	3
tot_nitro	micromole per liter	umol/L							0	3
tot_nitro_content	micromole per liter	umol/L							0	3
tot_part_carb	micromole per liter	umol/L							0	2
tot_phosp	micromole per liter	umol/L							0	3
tot_phosphate	micromole per liter	umol/L							0	2
floor_age	weeks	wk							0	3
