class	is_a	Slot	Replaced 	Origin	additional mapped slots	aliases	comments	slot_uri	Link	description	Notes / commends
FiltrationActivity		filter		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/F02384	"A porous material on which solid particles present in air or other fluid which flows through it are largely caught and retained. Filters are made with a variety of materials: cellulose and derivatives, glass fibre, ceramic, synthetic plastics and fibres. Filters may be naturally porous or be made so by mechanical or other means. Membrane/ceramic filters are prepared with highly controlled pore size in a sheet of suitable material such as polyfluoroethylene, polycarbonate or cellulose esters. Nylon mesh is sometimes used for reinforcement. The pores constitute 80Ð85% of the filter volume commonly and several pore sizes are available for air sampling (0.45_0.8 _m are commonly employed)."	
FiltrationActivity		unit		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/U06561	"Particular quantity, defined and adopted by convention, with which other quanitities of the same kind are compared in order to express their magnitudes relative to that quantity. Units have conventionally assigned names and symbols."	
FiltrationActivity	Activity		filtration-activity	IUPAC Gold Book					https://goldbook.iupac.org/terms/view/F02388	"The process of segregation of phases; e.g. the separation of suspended solids from a liquid or gas, usually by forcing a carrier gas or liquid through a porous medium."	
PhaseSeparation		unit		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/U06561	"Particular quantity, defined and adopted by convention, with which other quanitities of the same kind are compared in order to express their magnitudes relative to that quantity. Units have conventionally assigned names and symbols."	general unit term for values that don't have something more specific
PhaseSeparation		unit		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/U06561	"Particular quantity, defined and adopted by convention, with which other quanitities of the same kind are compared in order to express their magnitudes relative to that quantity. Units have conventionally assigned names and symbols."	general unit term for values that don't have something more specific
PhaseSeparation		value	speed	IUPAC Gold Book					https://goldbook.iupac.org/terms/view/V06593	Magnitude of a particular quantity generally expressed as a unit of measurement multiplied by a number.	
PhaseSeparation	Activity		centrifugation-activity	IUPAC Gold Book					https://goldbook.iupac.org/terms/view/P04534	The process by which a single solid (liquid) phase separates into two or more new phases.	
AcidificationActivity		volume_unit	unit	Mass Spectrometry Ontology					https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUO_0000000&jump_to_nav=true	"A unit which is a standard measure of the amount of space occupied by any substance, whether solid, liquid, or gas."	
Aliquot		volume_unit	unit	Mass Spectrometry Ontology					https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUO_0000000&jump_to_nav=true	"A unit which is a standard measure of the amount of space occupied by any substance, whether solid, liquid, or gas."	
AnalyticalSample		volume_unit	unit	Mass Spectrometry Ontology					https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUO_0000000&jump_to_nav=true	"A unit which is a standard measure of the amount of space occupied by any substance, whether solid, liquid, or gas."	
Extraction		sample_volume	volume	Mass Spectrometry Ontology					https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1000005&jump_to_nav=true	"	
Total volume of solution used."	
Extraction		volume_unit	unit	Mass Spectrometry Ontology					https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUO_0000000&jump_to_nav=true	"A unit which is a standard measure of the amount of space occupied by any substance, whether solid, liquid, or gas."	
Extraction	Activity		dissolution-activity	Mass Spectrometry Ontology	solvent extraction (IUPAC GOLD book)				https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0302884&jump_to_nav=true	"	
A material separation in which a desired component of an input material is separated from the remainder"	
FiltrationActivity		volume_unit	unit	Mass Spectrometry Ontology					https://bioportal.bioontology.org/ontologies/MS/?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUO_0000000&jump_to_nav=true	"A unit which is a standard measure of the amount of space occupied by any substance, whether solid, liquid, or gas."	
AcidificationActivity		analyte_id	id	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=Unique%20Keys-,analyte_id,-analyte_submitter_id"	Unique identifier for the analytical sample resulting from the extraction activity	Not directly taken from proteomic data commons
Aliquot		analyte_id	id	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=Unique%20Keys-,analyte_id,-analyte_submitter_id"	Unique identifier for the analytical sample resulting from the Weighing Activity	Not directly taken from proteomic data commons
Aliquot		starting_amount	weight	National Cancer Institure Proteomic Data Commons					https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Protocol	Mass with units	Terms required units are the best / could be incorrect. See notes
Aliquot	MaterialEntity		weighing-activity	National Cancer Institure Proteomic Data Commons					https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Aliquot	"Pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight."	
AnalyteStorage		analyte_id	id	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=Unique%20Keys-,analyte_id,-analyte_submitter_id"	Unique identifier for the analytical sample resulting from the Weighing Activity	Not directly taken from proteomic data commons
AnalyteStorage		analyte_volume	volume	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=%2D-,analyte_volume,-The%20volume%20in"	The volume in microliters (ul) of the aliquot(s) derived from the analyte(s) shipped for sequencing and characterization.	
AnalyticalSample		analyte_id	id	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=Unique%20Keys-,analyte_id,-analyte_submitter_id"	Unique identifier for the analytical sample resulting from the Weighing Activity	Not directly taken from proteomic data commons
AnalyticalSample		analyte_volume	volume	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=%2D-,analyte_volume,-The%20volume%20in"	The volume in microliters (ul) of the aliquot(s) derived from the analyte(s) shipped for sequencing and characterization.	
AnalyticalSample	MaterialEntity			National Cancer Institure Proteomic Data Commons					https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte	"A liquid bulk product produced according to specified lab protocols, from a sample or analyte, intended for further analysis."	
Extraction		analyte_id	id	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=Unique%20Keys-,analyte_id,-analyte_submitter_id"	Unique identifier for the analytical sample resulting from the extraction activity	Not directly taken from proteomic data commons
Extraction		concentration		National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=%2D-,concentration,-Numeric%20value%20that"	"Numeric value that represents the concentration of an analyte or aliquot extracted from the sample or sample portion, measured in milligrams per milliliter."	
FiltrationActivity		analyte_id	id	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=Unique%20Keys-,analyte_id,-analyte_submitter_id"	Unique identifier for the analytical sample resulting from the extraction activity	Not directly taken from proteomic data commons
FiltrationActivity		analyte_volume	volume	National Cancer Institure Proteomic Data Commons					"https://proteomic.datacommons.cancer.gov/pdc/data-dictionary/Analyte#:~:text=%2D-,analyte_volume,-The%20volume%20in"	The volume in microliters (ul) of the aliquot(s) derived from the analyte(s) shipped for sequencing and characterization.	
AcidificationActivity		volume		National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25335&jump_to_nav=true	The amount of three dimensional space occupied by an object or the capacity of a space or container.	
Aliquot		volume		National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25335&jump_to_nav=true	The amount of three dimensional space occupied by an object or the capacity of a space or container.	
AnalyticalSample		volume		National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25335&jump_to_nav=true	The amount of three dimensional space occupied by an object or the capacity of a space or container.	
Extraction		duration	time	National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25330&jump_to_nav=true	"	
The period of time during which something continues."	
Extraction		speed		National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C41146&jump_to_nav=true	A scalar measure of the rate of movement of the object expressed either as the distance travelled divided by the time taken (average speed) or the rate of change of position with respect to time at a particular point (instantaneous speed).	
Extraction		volume		National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25335&jump_to_nav=true	The amount of three dimensional space occupied by an object or the capacity of a space or container.	
FiltrationActivity		volume		National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25335&jump_to_nav=true	The amount of three dimensional space occupied by an object or the capacity of a space or container.	
PhaseSeparation		duration	time	National Cancer Institute Thesaurus					https://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25330&jump_to_nav=true	"	
The period of time during which something continues."	
AcidificationActivity		pH		NCIT: NCI Thesaurus OBO Edition					https://www.ebi.ac.uk/ols/ontologies/ncit/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C45997	"Quantity of dimension one used to express on a scale from 0 to 14 the amount-of-substance concentration of hydrogen ion of dilute aqueous solution, calculated as the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter."	
FiltrationActivity		material_pore_size	numeric_value	NCIT: NCI Thesaurus OBO Edition					https://www.ebi.ac.uk/ols/ontologies/ncit/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C112332	A quantitative or qualitative measurement of the physical dimensions of the pores in a material.	
PhaseSeparation		material_component_separation	type	OBI					https://www.ebi.ac.uk/ols/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0600014&lang=en&viewMode=All&siblings=true	a material processing in which components of an input material become segregated in space	centrifugation is a sub-ontology of this term and is the method we'll use (https://www.ebi.ac.uk/ols/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0302886&lang=en&viewMode=All&siblings=true)
AcidificationActivity	Activity		acidification-activity							Activity of modifying the pH of a sample or solution via addition of some acid.	No ontology term found
Aliquot		container_type	contanier							The vessel the sample was stored and extracted in	No ontology term found
AnalyticalSample		container_type	contanier							The vessel the sample was stored and extracted in	No ontology term found
Extraction		container_type	contanier							The vessel the sample was stored and extracted in	No ontology term found
FiltrationActivity		conditioning_volume								The volume of solvent used to condition the filter in milliliters	? Is that it? Or is it volume of sample used?
FiltrationActivity		container_type	contanier							The vessel the sample was stored and extracted in	No ontology term found
Activity											
MaterialEntity											
